REGIONE;EDIFICI_1_PIANO;EDIFICI_2_PIANI;EDIFICI_3_PIANI;EDIFICI_4+_PIANI;EDIFICI_PESATI
Piemonte;82127;532342;245150;85071;859619
Valle d'Aosta/Vallée d'Aoste;3135;15452;17385;7248;35972
Lombardia;135547;809085;388152;155856;1332784
Trentino-Alto Adige/Südtirol;10893;65281;92356;42406;168530
Veneto;93862;666959;230094;66361;990915
Friuli-Venezia Giulia;35916;156712;92512;21223;285140
Liguria;29963;114119;71499;47887;215581
Emilia-Romagna;60500;433222;236899;87188;730621
Toscana;79859;400581;190800;62259;671240
Umbria;15817;105326;62604;16192;183747
Marche;21253;146310;104676;39385;272239
Lazio;153357;365573;178013;104267;696943
Abruzzo;44813;171845;100570;31265;317228
Molise;13351;48913;35628;9422;97892
Campania;159125;466111;185108;81964;810344
Puglia;427892;345683;113989;59734;887564
Basilicata;39307;70558;34809;15361;144674
Calabria;138784;271556;141251;58256;551591
Sicilia;400175;540411;332624;158209;1273210
Sardegna;137713;255217;94028;25352;486958
